freq_hz,gain_dB,coherence
331.055,-10.7544,1.0000
332.520,-10.7607,1.0000
333.984,-10.7674,1.0000
335.449,-10.7734,1.0000
336.914,-10.7787,1.0000
338.379,-10.7805,1.0000
339.844,-10.7786,0.9999
341.309,-10.7730,0.9999
342.773,-10.7627,0.9999
344.238,-10.7492,0.9999
345.703,-10.7358,0.9999
347.168,-10.7265,0.9999
348.633,-10.7218,0.9999
350.098,-10.7201,1.0000
351.562,-10.7219,1.0000
353.027,-10.7257,1.0000
354.492,-10.7303,1.0000
355.957,-10.7362,1.0000
357.422,-10.7424,1.0000
358.887,-10.7492,1.0000
360.352,-10.7561,1.0000
361.816,-10.7632,1.0000
363.281,-10.7700,1.0000
364.746,-10.7758,1.0000
366.211,-10.7805,1.0000
367.676,-10.7824,1.0000
369.141,-10.7804,0.9999
370.605,-10.7747,0.9999
372.070,-10.7642,0.9999
373.535,-10.7498,0.9999
375.000,-10.7361,0.9999
376.465,-10.7262,0.9999
377.930,-10.7193,0.9999
379.395,-10.7151,1.0000
380.859,-10.7155,1.0000
382.324,-10.7186,1.0000
383.789,-10.7234,1.0000
385.254,-10.7298,1.0000
386.719,-10.7362,1.0000
388.184,-10.7433,1.0000
389.648,-10.7501,1.0000
391.113,-10.7575,1.0000
392.578,-10.7645,1.0000
394.043,-10.7717,1.0000
395.508,-10.7779,1.0000
396.973,-10.7817,1.0000
398.438,-10.7833,1.0000
399.902,-10.7816,0.9999
401.367,-10.7767,0.9999
402.832,-10.7690,0.9999
404.297,-10.7568,0.9999
405.762,-10.7415,0.9999
407.227,-10.7287,0.9999
408.691,-10.7202,0.9999
410.156,-10.7145,0.9999
411.621,-10.7123,1.0000
413.086,-10.7139,1.0000
414.551,-10.7170,1.0000
416.016,-10.7221,1.0000
417.480,-10.7284,1.0000
418.945,-10.7348,1.0000
420.410,-10.7420,1.0000
421.875,-10.7485,1.0000
423.340,-10.7555,1.0000
424.805,-10.7611,1.0000
426.270,-10.7669,1.0000
427.734,-10.7718,1.0000
429.199,-10.7766,1.0000
430.664,-10.7799,1.0000
432.129,-10.7802,1.0000
433.594,-10.7789,0.9999
435.059,-10.7749,0.9999
436.523,-10.7676,0.9999
437.988,-10.7580,0.9999
439.453,-10.7464,0.9999
440.918,-10.7341,0.9999
442.383,-10.7246,0.9999
443.848,-10.7181,0.9999
445.312,-10.7144,0.9999
446.777,-10.7141,1.0000
448.242,-10.7157,1.0000
449.707,-10.7190,1.0000
451.172,-10.7240,1.0000
452.637,-10.7293,1.0000
454.102,-10.7347,1.0000
455.566,-10.7398,1.0000
457.031,-10.7451,1.0000
458.496,-10.7506,1.0000
459.961,-10.7559,1.0000
461.426,-10.7606,1.0000
462.891,-10.7648,1.0000
464.355,-10.7689,1.0000
465.820,-10.7721,1.0000
467.285,-10.7746,1.0000
468.750,-10.7759,1.0000
470.215,-10.7754,0.9999
471.680,-10.7734,0.9999
473.145,-10.7689,0.9999
474.609,-10.7614,0.9999
476.074,-10.7522,0.9999
477.539,-10.7420,0.9999
479.004,-10.7329,0.9999
480.469,-10.7251,0.9999
481.934,-10.7195,0.9999
483.398,-10.7172,0.9999
484.863,-10.7166,1.0000
486.328,-10.7170,1.0000
487.793,-10.7192,1.0000
489.258,-10.7223,1.0000
490.723,-10.7265,1.0000
492.188,-10.7311,1.0000
493.652,-10.7352,1.0000
495.117,-10.7395,1.0000
496.582,-10.7433,1.0000
498.047,-10.7476,1.0000
499.512,-10.7517,1.0000
500.977,-10.7564,1.0000
502.441,-10.7608,1.0000
503.906,-10.7652,1.0000
505.371,-10.7693,1.0000
506.836,-10.7722,1.0000
508.301,-10.7746,1.0000
509.766,-10.7754,1.0000
511.230,-10.7747,0.9999
512.695,-10.7727,0.9999
514.160,-10.7681,0.9999
515.625,-10.7604,0.9999
517.090,-10.7515,0.9999
518.555,-10.7426,0.9999
520.020,-10.7334,0.9999
521.484,-10.7248,0.9999
522.949,-10.7191,0.9999
524.414,-10.7165,0.9999
525.879,-10.7149,1.0000
527.344,-10.7149,1.0000
528.809,-10.7161,1.0000
530.273,-10.7177,1.0000
531.738,-10.7204,1.0000
533.203,-10.7235,1.0000
534.668,-10.7273,1.0000
536.133,-10.7315,1.0000
537.598,-10.7358,1.0000
539.062,-10.7406,1.0000
540.527,-10.7452,1.0000
541.992,-10.7501,1.0000
543.457,-10.7549,1.0000
544.922,-10.7597,1.0000
546.387,-10.7646,1.0000
547.852,-10.7688,1.0000
549.316,-10.7729,1.0000
550.781,-10.7758,1.0000
552.246,-10.7776,1.0000
553.711,-10.7780,1.0000
555.176,-10.7762,0.9999
556.641,-10.7728,0.9999
558.105,-10.7675,0.9999
559.570,-10.7596,0.9999
561.035,-10.7508,0.9999
562.500,-10.7421,0.9999
563.965,-10.7334,0.9999
565.430,-10.7250,0.9999
566.895,-10.7184,0.9999
568.359,-10.7137,0.9999
569.824,-10.7106,0.9999
571.289,-10.7096,1.0000
572.754,-10.7098,1.0000
574.219,-10.7112,1.0000
